-187.5   6356.0   961.0    -164.5   7770.0   395.0    -154.6   9671.0   648.0 
-150.2 	10087.0   658.0    -132.7  22305.0  1000.0    -124.8  27386.0  1314.0 
-121.2 	28211.0  1707.0    -111.5  36102.0  2540.0    -111.5  32910.0  1560.0 
-107.4 	37046.0  1964.0    -105.3  36039.0  1666.0     -97.5  38516.0  1628.0 
 -95.2 	48296.0  2394.0     -94.0  47140.0  2562.0     -90.3  50574.0  3085.0 
 -90.3 	51043.0  3071.0     -76.9  58376.0  4215.0     -70.8  53488.0  4327.0 
 -70.8 	49520.0  2336.0     -67.5  63378.0  4274.0     -67.5  67202.0  3622.0 
 -64.1 	61844.0  3630.0     -64.1  59825.0  4102.0     -60.5  66840.0  3822.0 
 -58.6 	71393.0  3463.0     -54.6  70743.0  5261.0     -54.6  81271.0  5004.0 
 -50.3 	73381.0  3678.0     -50.3  74414.0  3313.0     -45.6  73987.0  3483.0 
 -40.4 	85294.0  5308.0     -27.0  71502.0  7595.0     -27.0  87630.0  5685.0 
  27.0 	90560.0  5954.0      40.4  81680.0  5539.0      45.6  76659.0  3624.0 
  46.0 	64615.0  5776.0      50.3  71544.0  3376.0      54.6  68582.0  5240.0 
  58.6 	69490.0  3165.0      60.5  68951.0  3730.0      60.5  67424.0  3927.0 
  60.5 	67016.0  4148.0      67.5  56597.0  6311.0      67.5  59077.0  2863.0 
  69.1 	63197.0  2896.0      70.8  51658.0  2209.0      70.8  59608.0  3596.0 
  70.8 	56113.0  4570.0      76.9  54894.0  6303.0      76.9  53143.0  3046.0 
  79.7 	48723.0  2063.0      81.1  51845.0  5663.0      83.9  47582.0  3704.0 
  85.2 	50552.0  2925.0      90.3  44713.0  2580.0      90.3  41868.0  1840.0 
  90.3 	46715.0  3037.0      90.3  45754.0  3523.0      92.8  49557.0  2689.0 
  94.0 	41508.0  2079.0      95.2  41942.0  2583.0     102.0  34765.0  3364.0 
 102.0 	37086.0  2552.0     105.3  34516.0  3363.0     105.3  35491.0  1705.0 
 105.3 	32622.0  1659.0     111.5  31437.0  1499.0     111.5  30984.0  1709.0 
 112.5 	27074.0  1159.0     117.4  28172.0  2939.0     117.4  28223.0  3654.0 
 117.4 	29812.0  1318.0     120.2  23289.0  1011.0     124.8  24423.0  1257.0 
 124.8 	25922.0  1190.0     124.8  25999.0  1173.0     127.5  22529.0  1026.0 
 127.5 	21580.0  1046.0     127.5  19663.0  1822.0     127.5  19634.0  1954.0 
 131.0 	18993.0  1550.0     133.5  21502.0  1090.0     137.7  16645.0   707.0 
 143.3 	14701.0  1414.0     143.3  17184.0   973.0     144.1  15277.0   719.0 
 144.1 	12887.0   753.0     145.6  14273.0   620.0     150.2   8467.0   671.0 
 150.2   9204.0   676.0     153.9  11513.0   712.0     154.6   9145.0   491.0 
 154.6 	 8705.0   484.0     154.6   8803.0   403.0     164.5   7190.0   409.0 
 164.5 	 6976.0   379.0     164.5   8241.0   384.0     165.2   7400.0   506.0 
 171.2 	 5866.0   268.0     187.5   3533.0   242.0     187.5   4036.0   219.0
